# BEGIN HISTO1D hWW_KF_CMS
# xlow   xhigh   val   errminus  errplus
500  550  0.97  0.0255015  0.02619 
550  600  0.95  0.0249757  0.02565 
600  650  0.92  0.024187  0.02484 
650  700  0.9  0.0236611  0.0243 
700  750  0.89  0.0233982  0.02403 
750  800  0.88  0.0231353  0.02376 
800  850  0.87  0.0228724  0.02349 
850  900  0.86  0.0226095  0.02322 
900  950  0.86  0.0226095  0.02322 
950  1000  0.85  0.0223466  0.02295 
1000  1050  0.84  0.0220837  0.02268 
1050  1100  0.84  0.0220837  0.02268 
1100  1150  0.83  0.0218208  0.02241 
1150  1200  0.83  0.0218208  0.02241 
1200  1250  0.82  0.0215579  0.02214 
1250  1300  0.82  0.0215579  0.02214 
1300  1350  0.81  0.021295  0.02187 
1350  1400  0.81  0.021295  0.02187 
1400  1450  0.8  0.0210321  0.0216 
1450  1500  0.79  0.0207692  0.02133 
1500  1550  0.79  0.0207692  0.02133 
1550  1600  0.78  0.0205063  0.02106 
1600  1650  0.78  0.0205063  0.02106 
1650  1700  0.78  0.0205063  0.02106 
1700  1750  0.78  0.0205063  0.02106 
1750  1800  0.78  0.0205063  0.02106 
1800  1850  0.78  0.0205063  0.02106 
1850  1900  0.77  0.0202434  0.02079 
1900  1950  0.77  0.0202434  0.02079 
